representation,projection,seed,native_dim,probe_dim,stage_c,boundary_c,boundary_threshold,stage_macro_f1,stage_balanced_accuracy,stage_0_precision,stage_0_recall,stage_1_precision,stage_1_recall,terminal_test_samples,probe_latency_ms_per_sample,feature_hook_latency_ms_per_step,model_inference_latency_ms_per_step,peak_vram_bytes,host_rss_delta_bytes,boundary_event_f1_at_5,boundary_event_f1_at_10,boundary_median_abs_error,false_boundaries_per_episode,no_boundary_failure_fpr
R2_state_encoder,native,41,1536,1536,0.1,0.01,0.95,0.8690836861218676,0.8848326814428509,0.9613733905579399,0.8205128205128205,0.7741935483870968,0.9491525423728814,11,0.0020633184848603296,0.03353342980651244,205.0831428423303,6387723264,0,0.17391304347826086,0.43478260869565216,11.0,1.0833333333333333,1.0
R2_state_encoder,native,53,1536,1536,100.0,0.01,0.95,0.9608126410835214,0.9608294930875576,0.9807692307692307,0.9400921658986175,0.9424778761061947,0.9815668202764977,12,0.002132069424963585,0.03566764909143482,209.84981611801186,6387723264,0,0.08695652173913043,0.2608695652173913,12.0,1.0,nan
R2_state_encoder,native,67,1536,1536,100.0,0.01,0.95,0.9750052813000758,0.9759383128948347,0.9579439252336449,0.9903381642512077,0.9911894273127754,0.9615384615384616,12,0.002095554524828259,0.03473031777099169,208.02734632147553,6387723264,0,0.0,0.2608695652173913,13.0,1.25,nan
R2_state_encoder,common_256,17,1536,256,10.0,0.01,0.95,0.9874636319649107,0.987420830401126,0.9852941176470589,0.9901477832512315,0.9897435897435898,0.9846938775510204,12,0.0006607042606380963,0.0353151189868147,207.66326614266953,6387723264,0,0.18181818181818182,0.45454545454545453,10.5,0.9166666666666666,nan
R2_state_encoder,common_256,29,1536,256,1.0,0.01,0.95,0.887678528201404,0.9012908990665222,0.9908675799086758,0.8127340823970037,0.7959183673469388,0.9898477157360406,11,0.0006267536945951625,0.033624227706486993,205.81048477800132,6387723264,0,0.08695652173913043,0.43478260869565216,12.0,1.25,1.0
R2_state_encoder,common_256,41,1536,256,0.1,0.01,0.95,0.8714124577014664,0.887657540199913,0.9655172413793104,0.8205128205128205,0.7752293577981652,0.9548022598870056,11,0.0007883471717106677,0.03353342980651244,205.0831428423303,6387723264,0,0.17391304347826086,0.43478260869565216,11.0,1.0833333333333333,1.0
R2_state_encoder,common_256,53,1536,256,100.0,0.01,0.95,0.9608126410835214,0.9608294930875576,0.9807692307692307,0.9400921658986175,0.9424778761061947,0.9815668202764977,12,0.0006454142456660663,0.03566764909143482,209.84981611801186,6387723264,0,0.08695652173913043,0.2608695652173913,12.0,1.0,nan
R2_state_encoder,common_256,67,1536,256,100.0,0.01,0.95,0.9750052813000758,0.9759383128948347,0.9579439252336449,0.9903381642512077,0.9911894273127754,0.9615384615384616,12,0.0006294644403148141,0.03473031777099169,208.02734632147553,6387723264,0,0.0,0.2608695652173913,13.0,1.25,nan
R3_vlm_hidden,native,17,2048,2048,1.0,0.01,0.95,0.9899718508092892,0.9899718508092892,0.9901477832512315,0.9901477832512315,0.9897959183673469,0.9897959183673469,12,0.003745288521300941,0.0353151189868147,207.66326614266953,6387723264,0,0.25,0.75,9.5,1.0,nan
R3_vlm_hidden,native,29,2048,2048,1.0,0.01,0.95,0.9024622671917262,0.9124032776288522,0.978448275862069,0.850187265917603,0.8275862068965517,0.9746192893401016,11,0.0032262466132886637,0.033624227706486993,205.81048477800132,6387723264,0,0.09090909090909091,0.36363636363636365,14.0,1.0833333333333333,0.0
