variant,raw_f1,raw_ba,ordered_f1,boundary_mae_s
all_mean_native,0.6409169366090395,0.6484822189745463,0.8254752089615938,2.966666666666667
all_mean_256,0.6344130675828861,0.6375182128187242,0.8213812206944635,3.016666666666667
external_native,0.6746224240291656,0.6769078066009012,0.8645677694150482,2.5166666666666666
external_256,0.6832380075139437,0.6840295446241738,0.8686924841576185,2.4166666666666665
left_wrist_native,0.6997486520875077,0.722035074899525,0.8477946120230669,2.966666666666667
left_wrist_256,0.6898272605127233,0.7060247063252179,0.8477946120230669,2.966666666666667
right_wrist_native,0.5440048058614647,0.5549267888973771,0.7165025301978725,4.583333333333334
right_wrist_256,0.5449290682925518,0.5544684237331297,0.698406961084803,4.783333333333333
wrists_mean_native,0.6243800364255081,0.6259349431472193,0.8254752089615938,2.966666666666667
wrists_mean_256,0.6153947152353284,0.6168185693249632,0.8238537033345803,2.966666666666667
camera_concat_native,0.6494767505686931,0.6801906810154892,0.8428155643360551,3.066666666666667
camera_concat_256,0.6849021511560212,0.7082094418795186,0.8429195675263891,3.066666666666667
