accuracy_add_weights,accuracy_add_weights_end,accuracy_add_weights_middle,accuracy_add_weights_start,accuracy_put_cart_on_ramp,accuracy_put_cart_on_ramp_end,accuracy_put_cart_on_ramp_middle,accuracy_put_cart_on_ramp_start,accuracy_remove_weights,accuracy_remove_weights_end,accuracy_remove_weights_middle,accuracy_remove_weights_start,accuracy_return_cart_to_desk,accuracy_return_cart_to_desk_end,accuracy_return_cart_to_desk_middle,accuracy_return_cart_to_desk_start,backbone_latency_ms,backbone_latency_p95_ms,boundary_f1_at_0.5s,boundary_f1_at_1s,boundary_false_positive_at_0.5s,boundary_false_positive_at_1s,boundary_median_error_at_0.5s,boundary_median_error_at_1s,config,confusion_matrix,peak_vram_mib,samples,stage_balanced_accuracy,stage_macro_f1,stage_macro_f1_ci95,unsupervised_adjusted_rand
0.75,0.5,0.875,0.875,0.8181818181818182,0.5714285714285714,0.8571428571428571,1.0,0.9285714285714286,0.75,1.0,1.0,0.8888888888888888,1.0,1.0,0.6666666666666666,177.42040850665117,205.32931976318358,0.0,0.3333333333333333,3.0,2.0,nan,1.0,1p0s_2p0fps,"[[18, 4, 0, 0], [2, 18, 3, 1], [0, 0, 13, 1], [0, 0, 1, 8]]",6303.53271484375,69,0.8300000000000001,0.8052561327561328,0.2472073084223331,0.15919124704075757
0.7916666666666666,0.625,0.875,0.875,0.8181818181818182,0.7142857142857143,0.7142857142857143,1.0,0.9285714285714286,0.75,1.0,1.0,0.8888888888888888,1.0,1.0,0.6666666666666666,308.48778018435917,322.83704681396483,0.0,0.3333333333333333,3.0,2.0,nan,1.0,2p0s_2p0fps,"[[18, 3, 0, 1], [3, 19, 1, 1], [0, 0, 13, 1], [0, 0, 1, 8]]",6522.017578125,69,0.8425,0.8175180375180375,0.18600530206059612,0.19432233220349093
0.875,0.875,0.875,0.875,0.9545454545454546,0.8571428571428571,1.0,1.0,0.9285714285714286,0.75,1.0,1.0,1.0,1.0,1.0,1.0,310.07635209367083,327.39373474121095,0.0,0.0,3.0,3.0,nan,nan,4p0s_1p0fps,"[[21, 1, 0, 0], [1, 21, 2, 0], [0, 0, 13, 1], [0, 0, 0, 9]]",6522.017578125,69,0.93,0.9158910533910533,0.111893403225294,0.3967026690649322
0.8333333333333334,0.875,0.625,1.0,0.9090909090909091,0.8571428571428571,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,1.0,1.0,0.6666666666666666,590.7244840054899,605.7553344726563,0.0,0.0,3.0,3.0,nan,nan,4p0s_2p0fps,"[[20, 2, 0, 0], [0, 20, 4, 0], [0, 0, 14, 0], [0, 0, 1, 8]]",6991.89013671875,69,0.9075,0.8977380952380953,0.09131535102781642,0.20973681981990458
0.9583333333333334,0.875,1.0,1.0,0.9090909090909091,0.8571428571428571,0.8571428571428571,1.0,0.8571428571428571,0.75,1.0,0.8,0.8888888888888888,1.0,1.0,0.6666666666666666,1510.0613238360431,1527.707049560547,0.0,0.0,3.0,3.0,nan,nan,4p0s_5p0fps,"[[20, 1, 0, 1], [0, 23, 1, 0], [0, 1, 12, 1], [0, 0, 1, 8]]",8410.376953125,69,0.8958333333333333,0.8836688311688313,0.1155600289229145,0.30279263197800793
0.9166666666666666,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.9285714285714286,0.75,1.0,1.0,1.0,1.0,1.0,1.0,446.9994469719964,458.4674789428711,0.0,0.0,3.0,3.0,nan,nan,6p0s_1p0fps,"[[22, 0, 0, 0], [2, 22, 0, 0], [0, 0, 13, 1], [0, 0, 0, 9]]",6760.74560546875,69,0.9550000000000001,0.9458333333333334,0.06783742821383096,0.1927788227737762
0.9583333333333334,1.0,1.0,0.875,0.9545454545454546,0.8571428571428571,1.0,1.0,0.9285714285714286,0.75,1.0,1.0,0.8888888888888888,1.0,1.0,0.6666666666666666,887.6712720716322,899.0651458740234,0.0,0.0,3.0,3.0,nan,nan,6p0s_2p0fps,"[[21, 1, 0, 0], [1, 23, 0, 0], [0, 0, 13, 1], [0, 0, 1, 8]]",7465.16650390625,69,0.9275,0.92005772005772,0.09777169611272533,0.2811139949784934
0.9583333333333334,0.875,1.0,1.0,0.9545454545454546,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2286.551767710093,2313.7294677734376,0.0,0.0,3.0,3.0,nan,nan,6p0s_5p0fps,"[[21, 1, 0, 0], [0, 23, 1, 0], [0, 0, 14, 0], [0, 0, 0, 9]]",9591.83203125,69,0.975,0.9703571428571429,0.058099999999999964,0.293419099455715
